ZipCode,Zipcode,,,
Pop15Plus,Population in zipcode over 15 years of age,,,
FTAFTPS100,"Percent of people in zipcode whose drivers license was suspended due to a FTA or FTP, in XX.XX% format",,,
WhiteNH,Percent of people in zipcode who are White Non-Hispanic,,,
Black,""" re Black",,,
Hisp,""" re Hisp",,,
Asian,""" re Asian",,,
Other,""" re Other",,,
povrate,"Poverty rate in zipcode, in XX.XX% format",,,
Pov,,,,
PovPop,,,,
FTA100,,,,
FTP100,,,,
DUIFTAS100,,,,
IncK,"Average income in zipcode, in thousands of dollars",,,